CID,MW,MF,TPSA,XL,HAC,HBDC,HBAC,RBC,SMILES,Charge,CBUC
2833590,339.4,C18H17N3O2S,101,2.9,24,1,4,4,CC1=CC(=CC=C1)N2C(=O)CC(C2=O)SC(=NC3=CC=CC=C3)N,0,1
2666542,292.3,C18H16N2O2,51.2,2.8,22,1,3,4,COC1=CC2=CC=CC=C2C=C1C(=O)NCC3=CC=NC=C3,0,1
9627575,263.3,C15H13N5,54.3,2.2,20,0,5,3,CN(C1=NC2=CC=CC=C2N=C1)N=CC3=CN=CC=C3,0,1
5339583,310.35,C17H18N4O2,83.4,1.2,23,2,4,6,CC1=CC=CC=C1NC(=O)CCC(=O)NN=CC2=CN=CC=C2,0,1
1161017,350.5,C19H30N2O4,68.8,2.5,25,2,5,5,CC1(CC(CC(N1)(C)C)NC(=O)C2=CC(=C(C(=C2)OC)OC)OC)C,0,1
795409,306.15,C14H12BrNO2,38.3,3.7,18,1,2,3,COC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2Br,0,1
24818520,365.5,C19H19N5OS,111,2.9,26,3,4,4,CCCNC(=S)NNC(=O)C1=CC(=NC2=CC=CC=C21)C3=CN=CC=C3,0,1
2813559,328.2,C14H15Cl2N3O2,67.2,4.2,21,2,3,3,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)Cl)Cl,0,1
2740736,283.32,C17H17NO3,50.5,2.6,21,0,3,3,C1CN(CCC1C(=O)C2=CC=CC=C2)C(=O)C3=CC=CO3,0,1
2701765,297.35,C17H19N3O2,73.2,2.5,22,1,3,2,C1CCCC2(CC1)C(=O)N(C(=O)N2)CC3=CC=CC=C3C#N,0,1
1474447,301.34,C15H19N5O2,63.5,1.2,22,0,5,4,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)CN3C=NC=N3,0,1
6894217,320.4,C15H16N2O4S,85.4,2.5,22,1,6,6,COC1=C(C=C(C=C1)C=NNS(=O)(=O)C2=CC=CC=C2)OC,0,1
1532254,328.4,C19H24N2O3,66.5,3.3,24,1,3,4,CC(C)CNC(=O)C1=CC2=C(C=C1)C(=O)N(C2=O)C3CCCCC3,0,1
2826706,266.4,C14H22N2OS,65.4,2.8,18,2,2,5,CC1=CC(=C(C=C1C)NC(=S)NCCCOC)C,0,1
2968977,303.4,C18H22FNO2,38.3,3.8,22,1,3,4,C1C2CC3CC1CC(C2)(C3)NC(=O)COC4=CC=CC=C4F,0,1
2302346,288.35,C14H13FN4S,68.4,3.3,20,0,5,3,CC1=CC(=NC2=NC(=NN12)SCC3=CC=CC=C3F)C,0,1
718166,268.28,C16H13FN2O,34.9,3.8,20,0,3,1,CC1=CC2=C(C=C1C)N(C=N2)C(=O)C3=CC=C(C=C3)F,0,1
87425,146.15,C7H6N4,54.5,1.1,11,1,3,1,C1=CC=C(C=C1)C2=NNN=N2,0,1
6882577,309.28,C16H11N3O4,100,3.6,23,1,5,3,C1=CC=C2C(=C1)C=C(O2)C(=O)NN=CC3=CC=C(C=C3)[N+](=O)[O-],0,1
